zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;4686;40
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;2993.4;40
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4559;3875.15;15
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3769;2072.95;45
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6899;4484.35;35
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3799;2279.4;40
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4439;4439;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4939;3457.3;30
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3679;2207.4;40
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2085.85;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4559;2735.4;40
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2073.15;15
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3809;2094.95;45
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4619;2771.4;40
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3109;3109;0
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2195.4;40
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7839;4703.4;40
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5619;3371.4;40
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;4637.4;40
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4129;3509.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3749;2811.75;25
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4739;3317.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4139;3518.15;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3219;2736.15;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4719;3303.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5209;5209;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3569;3569;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2849;1994.3;30
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3779;3779;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;2645.4;40
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3569;3033.65;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3749;2249.4;40
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3709;2225.4;40
Nunez;Miller;Cerveza Miller;473 ml;3969;3969;0
Nunez;Corona;Corona Cerveza;473 ml;5089;3053.4;40
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3829;3829;0
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4479;3583.2;20
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;1845.35;35
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3019;3019;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4499;4499;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5459;2729.5;50
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4335.24;4335.24;0
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5849;4971.65;15
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3289;2137.85;35
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5005.65;15
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3569;3569;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;6469;0
