zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Quilmes;Cerveza Quilmes Ipa 473 cc;473 ml;2939;2939;0
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4639;3943.15;15
Nunez;Corona;Corona Cerveza Rubia;710 ml;7745;5808.75;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;5149;3861.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3889;2722.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6939;5898.15;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3909;2931.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4319;4319;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4979;4979;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3739;2804.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3449;2759.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4579;3434.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2499;2499;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3879;2909.25;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4549;3411.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3099;3099;0
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3899;2924.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7939;5954.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5619;4214.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7809;5856.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4109;3492.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3729;2610.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4699;3289.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4199;3569.15;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3189;2710.65;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4699;3289.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5199;5199;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3589;3589;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4729;4019.65;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2959;2367.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3799;3799;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4529;3396.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3499;2974.15;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3769;2826.75;25
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4489;4489;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5649;2824.5;50
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4396.68;4396.68;0
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5869;4988.65;15
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3289;2631.2;20
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3589;3589;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6509;6509;0
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2399;1679.3;30
Nunez;Andes;Cerveza Andes Origen Rubia 710 cc;710 ml;5229;3921.75;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5789;4341.75;25
Nunez;Salta Cautiva;Salta Cerveza Session Ipa;473 ml;3539;2654.25;25
Nunez;Brahma;Cerveza Brahma Chopp 473 cc;473 ml;3079;2309.25;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7899;5924.25;25
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3569;3569;0
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3729;2796.75;25
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6029;6029;0
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3849;3849;0
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6749;5061.75;25
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;3969;3969;0
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5139;4368.15;15
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3989;3191.2;20
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 ml;4679;3743.2;20
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4139;3311.2;20
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4699;3524.25;25
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3529;2999.65;15
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3139;2668.15;15
Nunez;Quilmes;Cerveza Quilmes Bajo Cero;473 ml;1829;1829;0
Nunez;Rabieta;Rabieta Cerveza American Ipa;473 ml;4629;2777.4;40
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3549;2661.75;25
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4659;3261.3;30
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4099;3279.2;20
