zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4559;3875.15;15
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;5149;3861.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3889;2138.95;45
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6899;4484.35;35
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3919;2939.25;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4439;4439;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4939;3457.3;30
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3759;2819.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3459;2248.35;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4589;3441.75;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2499;2499;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3809;2094.95;45
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3099;3099;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3759;2255.4;40
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3669;2751.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7899;5924.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5669;4251.75;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;5796.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4129;3509.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3749;2811.75;25
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4739;3317.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4149;3526.65;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3219;2736.15;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4739;3317.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5209;5209;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3579;3579;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2969;2375.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3769;3769;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;3306.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3559;3025.15;15
Nunez;Miller;Cerveza Miller;473 ml;3959;3959;0
Nunez;Corona;Corona Cerveza;473 ml;5089;3816.75;25
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3839;3839;0
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4469;3575.2;20
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2949;2211.75;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3009;3009;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4499;4499;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5469;2734.5;50
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4336.07;4336.07;0
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5849;4971.65;15
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3289;2631.2;20
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5005.65;15
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3589;3589;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;6469;0
Nunez;Andes;Cerveza Andes Origen Rubia 710 cc;710 ml;5099;3824.25;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5669;4251.75;25
Nunez;Salta Cautiva;Salta Cerveza Session Ipa;473 ml;3529;3529;0
Nunez;Brahma;Cerveza Brahma Chopp 473 cc;473 ml;3089;2316.75;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7899;5924.25;25
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3639;3639;0
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3569;2676.75;25
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6139;6139;0
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3809;3809;0
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6749;4386.85;35
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;4009;3207.2;20
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2529;2529;0
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5119;4351.15;15
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3969;3175.2;20
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 ml;4589;3671.2;20
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4719;3303.3;30
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3599;3059.15;15
Nunez;Antares;Antares Cerveza Ipa;473 ml;4519;3163.3;30
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3139;2668.15;15
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3169;2535.2;20
Nunez;Quilmes;Cerveza Quilmes Bajo Cero;473 ml;1839;1839;0
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3529;3529;0
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4729;3310.3;30
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4109;3287.2;20
Nunez;Quilmes;Cerveza Quilmes Clásica 710 cc;710 ml;4139;3518.15;15
Nunez;Rabieta;Rabieta Cerveza Helles Munich;473 ml;4059;2029.5;50
Nunez;Brahma;Cerveza Brahma 710 mL;710 ml;4429;3100.3;30
Nunez;Antares;Antares Cerveza Lager;473 ml;4009;2806.3;30
Nunez;Pilsener Konign;Konig Cerveza Lata;500 ml;5129;4103.2;20
Nunez;Bitburger;Bitburger Cerveza;500 ml;5649;4519.2;20
Nunez;Bitburger;Bitburger Cerveza;330 ml;4949;3959.2;20
Nunez;Sol;Starberg Cerveza Lager;500 ml;2579;2579;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;4745.3;30
Nunez;;Cerveza Lager Estrella Del Sur Lata;500 ml;1459;1240.15;15
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml;473 ml;3009;1805.4;40
