zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4639;3943.15;15
Nunez;Corona;Corona Cerveza Rubia;710 ml;7745;5808.75;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;5159;3869.25;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3889;2722.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6929;5889.65;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3909;2931.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4319;4319;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4979;4979;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3739;2804.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3429;2743.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4579;3434.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2499;2499;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3889;2916.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4549;3411.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3109;3109;0
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3899;2924.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7949;5961.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5619;4214.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7809;5856.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4109;3492.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;2631.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4679;3275.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4199;3569.15;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3189;2710.65;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4659;3261.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5199;5199;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3579;3579;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4729;4019.65;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2959;2367.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3799;3799;0
