zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5169;5169;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;3306.75;25
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5099;5099;0
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;3009;3009;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3619;3619;0
Nunez;Stella Artois;Stella Artois Cerveza 710 ml;710 ml;6000;3900;35
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5019;5019;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;4745.3;30
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4629;3934.65;15
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3809;2666.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6899;5864.15;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3749;2811.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4389;3730.65;15
Nunez;Heineken;Heineken Cerveza Original;330 ml;4889;4889;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3669;2751.75;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3199;2559.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3709;2781.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4619;3464.25;25
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3679;2943.2;20
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7789;5841.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5679;4259.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;5796.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4099;3689.1;10
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;3759;0
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4589;3212.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4059;3653.1;10
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Miller;Cerveza Miller;473 ml;3979;2188.45;45
Nunez;Corona;Corona Cerveza;473 ml;5149;3861.75;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;4281.75;25
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3809;3237.65;15
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4499;4499;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3069;3069;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4489;4489;0
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5069;4308.65;15
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2359;1651.3;30
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3539;3185.1;10
Nunez;Michelob Ultra;Michelob Ultra Cerveza;275 ml;3069;2455.2;20
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3499;2624.25;25
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4069;2441.4;40
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6559;4263.35;35
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3629;3629;0
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4079;2447.4;40
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3769;3769;0
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Imperial;Imperial Cerveza Golden;330 ml;4019;4019;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6479;3563.45;45
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3599;3599;0
Nunez;Brahma;Brahma Cerveza Chopp;710 ml;4299;3009.3;30
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7789;5841.75;25
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6109;6109;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2409;2409;0
Nunez;Corona;Corona Cerveza 0.0;473 ml;3609;2526.3;30
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5639;4229.25;25
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;3959;3959;0
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5939;5048.15;15
Nunez;Antares;Antares Cerveza Lager;473 ml;4029;2820.3;30
Nunez;Sol;Starberg Cerveza Lager;500 ml;2579;2579;0
