zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc 1 X 473 mL;473 cc;3519.0;2287.35;35
Nunez;Amstel;Amstel Cerveza Lager Pura Malta 1 X 473 mL;473 ml;3189.0;2232.3;30
Nunez;Heineken;Heineken Cerveza Rubia 1 X 473 mL;473 ml;4579.0;4579.0;0
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml 1 x 473 mL;473 ml;3009.0;1504.5;50
Nunez;Schneider;Schneider Cerveza Lager 1 X 710 mL;710 ml;4369.0;3713.65;15
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710.0 ml;6869.0;5838.65;15
Nunez;Corona;Corona Cerveza Tipo Lager;330.0 ml;4989.0;3242.85;35
Nunez;1890;1890 Cerveza Rubia 1 X 473 mL;473 ml;2439.0;2195.1;10
Nunez;Quilmes;Cerveza Quilmes Clásica 710 cc 1 X 710 mL;710 cc;4059.0;3247.2;20
Nunez;Corona;Corona Cerveza Cero 1 X 330 mL;330 ml;3819.0;2291.4;40
Nunez;Miller;Cerveza Miller;473.0 ml;3979.0;3979.0;0
Nunez;Miller;Miller Genuine Draft Cerveza 1 X 330 mL;330 ml;4384.52;4384.52;0
Nunez;Antares;Antares Cerveza Ipa 1 x 473 mL;473 ml;4519.0;3163.3;30
Nunez;Quilmes;Cerveza Quilmes 0% 473 cc 1 X 473 mL;473 cc;2369.0;1421.4;40
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager 1 x 710 mL;710 ml;6859.0;6859.0;0
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón 1 x 473 mL;473 ml;3079.0;3079.0;0
Nunez;Rabieta;Rabieta Cerveza Helles Munich 1 X 473 mL;473 ml;4059.0;4059.0;0
Nunez;Stella Artois;Stella Artois Cerveza 1 x 330 mL;330 ml;4489.0;2693.4;40
Nunez;Peroni;Peroni Cerveza 1 X 330 mL;330 ml;5049.0;5049.0;0
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 cc;5889.0;3827.85;35
Nunez;Stella Artois;Stella Artois Cerveza Pure Gold 1 x 473 mL;473 ml;3719.0;2417.35;35
Nunez;Heineken;Heineken Cerveza Original 1 X 330 mL;330 ml;4849.0;4849.0;0
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml 1 X 473 mL;473 ml;3509.0;2280.85;35
Nunez;Asahi;Asahi Cerveza Dry;330 cc;6129.0;6129.0;0
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4089.0;2453.4;40
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc 1 X 730 mL;730 cc;7739.0;5030.35;35
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml 1 X 473 mL;473 ml;3129.0;3129.0;0
Nunez;Brahma;Cerveza Brahma Chopp Lata 354mlx1 1 X 354 mL;354 ml;1929.0;1736.1;10
