zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5169;5169;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3609;3609;0
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5099;5099;0
Nunez;Andes;Cerveza Andes Origen Rubia 710 cc;710 ml;5089;3816.75;25
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;3009;3009;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;4745.3;30
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4319.22;2375.57;45
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5019;5019;0
Nunez;Stella Artois;Stella Artois Cerveza Pure Gold;330 ml;4979;3734.25;25
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3829;2680.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6899;5864.15;15
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4649;3951.65;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3779;2834.25;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4389;3730.65;15
Nunez;Heineken;Heineken Cerveza Original;330 ml;4899;4899;0
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4089;3680.1;10
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3669;2751.75;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3329;2663.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3709;2781.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4619;3464.25;25
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3679;2943.2;20
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7799;5849.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5649;4236.75;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;7729;0
Nunez;Miller;Cerveza Miller;473 ml;3969;2182.95;45
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;3759;0
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4589;3212.3;30
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Corona;Corona Cerveza;473 ml;5159;3869.25;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;4281.75;25
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3799;3229.15;15
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4519;4519;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3069;3069;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5449;4086.75;25
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5939;5048.15;15
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3289;2466.75;25
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3599;3599;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;3557.95;45
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2349;1644.3;30
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5589;4191.75;25
Nunez;Salta Cautiva;Salta Cerveza Session Ipa;473 ml;3579;2863.2;20
Nunez;Brahma;Cerveza Brahma Chopp 473 cc;473 ml;2989;2241.75;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7799;5849.25;25
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3599;3599;0
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3499;2624.25;25
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6029;6029;0
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3769;3769;0
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6849;5136.75;25
Nunez;Peroni;Peroni Cerveza;330 ml;5039;5039;0
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;3959;3959;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2409;2409;0
Nunez;Stella Artois 0;Stella Artois Cerveza 0%;330 ml;3619;2533.3;30
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5069;4308.65;15
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3989;3989;0
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 ml;4589;3441.75;25
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4089;3475.65;15
