zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4559;3875.15;15
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3159;2527.2;20
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3769;2638.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6909;5872.65;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3799;2849.25;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4419;2872.35;35
Nunez;Heineken;Heineken Cerveza Original;330 ml;4929;4929;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3679;2759.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2567.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3809;2856.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4609;3456.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3109;2331.75;25
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7809;5856.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5699;4274.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;5796.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4089;3475.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3749;2811.75;25
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4729;3310.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4069;3458.65;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3169;2693.65;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4729;3310.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5189;5189;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3579;3579;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4689;3985.65;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2849;2279.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3769;3769;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;3306.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3509;2982.65;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3719;2789.25;25
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3709;2967.2;20
Nunez;Miller;Cerveza Miller;473 ml;3969;3969;0
Nunez;Corona;Corona Cerveza;473 ml;5109;3831.75;25
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3789;3789;0
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4479;4479;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;2155.3;30
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3009;2256.75;25
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5459;2729.5;50
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3519;2639.25;25
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2369;1658.3;30
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3159;2685.15;15
Nunez;Michelob Ultra;Michelob Ultra Cerveza;275 ml;3069;2455.2;20
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3989;3191.2;20
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3539;3539;0
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3819;3819;0
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6809;4425.85;35
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5709;4281.75;25
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;6469;0
Nunez;Antares;Antares Cerveza Ipa;473 ml;4519;3163.3;30
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4319.8;4319.8;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7839;5879.25;25
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4079;3263.2;20
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2449;2449;0
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3519;2991.15;15
Nunez;Antares;Antares Cerveza Lager;473 ml;4069;2848.3;30
Nunez;Brahma;Cerveza Brahma 710 mL;710 ml;4319;3023.3;30
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3579;3579;0
Nunez;Sol;Starberg Cerveza Lager;500 ml;2579;1934.25;25
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4059;3247.2;20
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;4019;4019;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;4745.3;30
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;2959;2959;0
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4859;3401.3;30
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4729;3546.75;25
Nunez;Bitburger;Bitburger Cerveza;330 ml;4939;4939;0
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3529;3529;0
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5089;5089;0
Nunez;Bitburger;Bitburger Cerveza;500 ml;5649;5649;0
Nunez;Pilsener Konign;Konig Cerveza Lata;500 ml;5129;5129;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Estrella Damm;Estrella Damm Cerveza;500 ml;2719;2447.1;10
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;4281.75;25
Nunez;Patagonia;Cerveza Patagonia Bohemian 473 cc;473 ml;6799;5099.25;25
Nunez;Goose Island;Cerveza Goose Island Lager 473 cc;473 ml;4109;4109;0
