zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4609;4609;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3799;2659.3;30
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3789;2273.4;40
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4409;4409;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4909;4909;0
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2085.85;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3769;2826.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4609;3456.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3149;3149;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3769;3015.2;20
Nunez;Miller;Cerveza Miller;473 ml;3979;2188.45;45
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5979;5082.15;15
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7829;5871.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5749;4311.75;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;6183.2;20
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4099;3484.15;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;2631.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4629;4629;0
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4069;3458.65;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3219;2736.15;15
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5179;5179;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4669;3968.65;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2849;2279.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3769;2638.3;30
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;3306.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3529;2999.65;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3699;2774.25;25
Nunez;Corona;Corona Cerveza;473 ml;5109;3831.75;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5699;3419.4;40
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3819;2673.3;30
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4529;4529;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3009;3009;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4469;4469;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5509;3305.4;40
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml;473 ml;3009;1805.4;40
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4799;3599.25;25
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2409;1565.85;35
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3169;2693.65;15
Nunez;Brahma;Cerveza Brahma Chopp 473 cc;473 ml;2989;2241.75;25
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3519;2639.25;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7859;5894.25;25
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3549;3016.65;15
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 ml;4599;2989.35;35
Nunez;Quilmes;Cerveza Quilmes Bajo Cero;473 ml;1829;1829;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5699;4274.25;25
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4839;4839;0
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4059;3247.2;20
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6039;6039;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;6779;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;3557.95;45
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6839;4445.35;35
Nunez;Estrella Damm;Estrella Damm Cerveza;500 ml;2719;2719;0
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4336.39;2385.02;45
Nunez;Brahma;Cerveza Brahma Chopp Lata 354mlx1;354 ml;1889;1889;0
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4069;3255.2;20
Nunez;Peroni;Peroni Cerveza;330 ml;5139;5139;0
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3189;2551.2;20
Nunez;Corona;Corona Cerveza 0.0;473 ml;3609;2526.3;30
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3589;2512.3;30
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3779;2645.3;30
