zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Original;330 ml;4889;4889;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5179;5179;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;6779;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;;Cerveza Lager Estrella Del Sur Lata;500 ml;1769;1769;0
Nunez;Stella Artois;Stella Artois Cerveza 710 ml;710 ml;6000;4500;25
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5109;5109;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3659;3659;0
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3549;3016.65;15
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4609;4609;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3809;2666.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6899;5864.15;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3769;2261.4;40
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4409;4409;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3669;2201.4;40
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2085.85;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3769;2826.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4619;3464.25;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3109;3109;0
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7819;5864.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5759;4319.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;3864.5;50
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4189;3560.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;2631.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4629;4629;0
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4169;3543.65;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3209;2727.65;15
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3829;3063.2;20
Nunez;Miller;Cerveza Miller;473 ml;3969;3969;0
Nunez;Corona;Corona Cerveza;473 ml;5119;3839.25;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;3425.4;40
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3789;2652.3;30
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4509;4509;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;2999;2999;0
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml;473 ml;3009;1805.4;40
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3529;3529;0
