zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia en Lata;-;6879.0;5847.15;15
Nunez;Miller;Cerveza Miller;-;4029.0;2215.95;45
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml;473ml;3009.0;1805.4;40
Nunez;Schneider;Schneider Cerveza Lager;-;4409.0;3747.65;15
Nunez;Corona;Corona Cerveza Tipo Lager;-;5139.0;3854.25;25
Nunez;1890;1890 Cerveza Rubia;-;2439.0;2073.15;15
Nunez;Quilmes;Cerveza Quilmes Clásica 710 cc;710 cc;4059.0;2841.3;30
Nunez;Corona;Corona Cerveza Cero;-;3979.0;2785.3;30
Nunez;Michelob Ultra;Michelob Ultra Cerveza;-;4279.0;3423.2;20
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;-;6869.0;4464.85;35
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 cc;3839.0;2879.25;25
Nunez;Stella Artois;Stella Artois Cerveza;-;4489.0;3366.75;25
Nunez;Asahi;Asahi Cerveza Dry;-;5979.0;4484.25;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 cc;7749.0;5811.75;25
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3219.0;1931.4;40
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 cc;5549.0;4161.75;25
Nunez;Brahma;Brahma Cerveza Chopp;-;4369.0;3058.3;30
Nunez;Stella Artois;Cerveza Stella Artois 0% 473 cc;473 cc;3719.0;2789.25;25
Nunez;Miller;Miller Cerveza Rubia;-;6469.0;3557.95;45
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;-;3839.0;2687.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;-;4529.0;3170.3;30
Nunez;Salta;Salta Cerveza Cautiva Roja;-;3549.0;3549.0;0
Nunez;Antares;Antares Cerveza Scotch;-;4579.0;3205.3;30
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 cc;4409.0;3306.75;25
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;-;3679.0;2759.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 cc;5609.0;4206.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 cc;7749.0;5811.75;25
Nunez;Corona;Corona Cerveza 0.0;-;3609.0;2526.3;30
Nunez;Imperial;Imperial Cerveza Extra Lager;-;3559.0;2491.3;30
Nunez;Rabieta;Rabieta Cerveza Red Honey;-;4079.0;3671.1;10
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473ml;3209.0;2888.1;10
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3159.0;2685.15;15
Nunez;Quilmes;Cerveza Quilmes Ipa 473 cc;473 cc;2869.0;2869.0;0
Nunez;Imperial;Imperial Cerveza Ipa;-;3919.0;2743.3;30
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 cc;5459.0;4094.25;25
Nunez;Antares;Antares Cerveza Caravana Session Ipa;-;4539.0;3177.3;30
Nunez;Stella Artois;Stella Artois Cerveza 0%;-;3649.0;2554.3;30
Nunez;Antares;Antares Cerveza Lager;-;3839.0;2687.3;30
Nunez;Imperial;Imperial Cerveza Ligera Golden;-;3579.0;2505.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;-;4059.0;3653.1;10
Nunez;Antares;Antares Kolsch Cerveza;-;4539.0;3177.3;30
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;-;5859.0;4980.15;15
Nunez;Grolsch;Grolsch Cerveza Ipa;-;4799.0;3839.2;20
Nunez;Rabieta;Rabieta Cerveza American Ipa;-;4549.0;2729.4;40
Nunez;Rabieta;Rabieta Cerveza Golden Ale;-;4059.0;2435.4;40
Nunez;Imperial;Imperial Golden Lata 710ml;710ml;5079.0;3301.35;35
Nunez;Kostritzer;Kostritzer Cerveza Schwarzbier;-;7309.0;5847.2;20
Nunez;Stella Artois;Stella Artois Cerveza Pure Gold;-;4979.0;3734.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 cc;7729.0;3864.5;50
Nunez;Andes Origen;Andes Origen Cerveza Rubia;-;3589.0;2153.4;40
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 cc;3679.0;2207.4;40
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 cc;4559.0;2963.35;35
Nunez;Corona;Corona Cerveza Rubia;-;7869.0;5901.75;25
