zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Original;330 ml;4979;2987.4;40
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4009;2405.4;40
Nunez;Corona;Corona Cerveza Rubia;710 ml;7745;5808.75;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;5159;3869.25;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3889;2722.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6939;4163.4;40
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3909;2931.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4319;2591.4;40
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3739;2804.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3459;2767.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4579;3434.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2499;2499;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3879;2909.25;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4559;3419.25;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3099;1859.4;40
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3899;2924.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7939;5954.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5619;4214.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7809;5856.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4119;3501.15;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3729;2983.2;20
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4709;3296.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4199;3569.15;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3189;2710.65;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4659;3261.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5199;5199;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3589;3589;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4719;4011.15;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2959;2367.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3809;3809;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4529;3396.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3499;2974.15;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3789;2841.75;25
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3529;2999.65;15
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4420.67;2431.37;45
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5869;5869;0
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3289;2631.2;20
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3559;2135.4;40
Nunez;Miller;Miller Cerveza Rubia;600 ml;6529;3590.95;45
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2389;1672.3;30
Nunez;Andes;Cerveza Andes Origen Rubia 710 cc;710 ml;5239;3405.35;35
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5729;4296.75;25
