zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5179;5179;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;6779;0
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5099;5099;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3629;3629;0
Nunez;;Cerveza Lager Estrella Del Sur Lata;500 ml;1809;1809;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Stella Artois;Stella Artois Cerveza 710 ml;710 ml;6000;3900;35
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4609;4609;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3809;2666.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6889;5855.65;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3769;2261.4;40
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4399;4399;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4879;4879;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3659;2195.4;40
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2085.85;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3769;2826.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4609;3456.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3119;3119;0
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7819;5864.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5739;4304.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;4637.4;40
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4189;4189;0
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;2631.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4639;4639;0
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4169;3543.65;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3209;2727.65;15
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3769;3015.2;20
Nunez;Miller;Cerveza Miller;473 ml;3969;3969;0
Nunez;Corona;Corona Cerveza;473 ml;5119;3839.25;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;3425.4;40
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3809;2666.3;30
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4499;4499;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3039;3039;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4469;4469;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5449;3269.4;40
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4336.69;4336.69;0
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5969;5073.65;15
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3279;2623.2;20
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3539;2477.3;30
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;6469;0
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2379;1665.3;30
Nunez;Andes;Cerveza Andes Origen Rubia 710 cc;710 ml;5089;3816.75;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5699;4274.25;25
Nunez;Salta Cautiva;Salta Cerveza Session Ipa;473 ml;3559;3559;0
Nunez;Brahma;Cerveza Brahma Chopp 473 cc;473 ml;2989;2241.75;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7849;5886.75;25
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3599;2519.3;30
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3519;2639.25;25
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6039;6039;0
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6849;5136.75;25
Nunez;Peroni;Peroni Cerveza;330 ml;4999;4999;0
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;3989;3989;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2399;1559.35;35
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5089;3307.85;35
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3939;2560.35;35
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 ml;4589;3671.2;20
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4079;3263.2;20
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4799;3599.25;25
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3549;3549;0
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3169;3169;0
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3189;3189;0
Nunez;Quilmes;Cerveza Quilmes Bajo Cero;473 ml;1869;1869;0
Nunez;Rabieta;Rabieta Cerveza American Ipa;473 ml;4609;4609;0
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3529;3529;0
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4859;4859;0
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4059;3247.2;20
Nunez;Quilmes;Cerveza Quilmes Clásica 710 cc;710 ml;4059;3450.15;15
Nunez;Rabieta;Rabieta Cerveza Helles Munich;473 ml;4119;2059.5;50
Nunez;Brahma;Brahma Cerveza Chopp;710 ml;4309;3662.65;15
Nunez;Antares;Antares Cerveza Lager;473 ml;4089;4089;0
Nunez;Pilsener Konign;Konig Cerveza Lata;500 ml;5129;5129;0
Nunez;Bitburger;Bitburger Cerveza;500 ml;5649;5649;0
Nunez;Bitburger;Bitburger Cerveza;330 ml;4939;4939;0
Nunez;Sol;Starberg Cerveza Lager;500 ml;2579;2579;0
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;2959;2959;0
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml;473 ml;3009;1805.4;40
