zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4609;4609;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;4686;40
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;2993.4;40
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3789;2083.95;45
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6919;4497.35;35
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3779;2267.4;40
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4419;2872.35;35
Nunez;Heineken;Heineken Cerveza Original;330 ml;4889;4889;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3679;2207.4;40
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3099;2014.35;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4509;2705.4;40
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2073.15;15
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3779;2267.4;40
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4609;2765.4;40
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3839;3071.2;20
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2195.4;40
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7809;4685.4;40
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5709;3425.4;40
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4089;3475.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3729;2796.75;25
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4629;4629;0
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4069;3458.65;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3179;2702.15;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4689;4689;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5179;5179;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3569;2498.3;30
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;1545.8;80
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2849;1994.3;30
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3779;3779;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;2645.4;40
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3509;2982.65;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3719;2231.4;40
Nunez;Miller;Cerveza Miller;473 ml;3979;3979;0
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5699;3419.4;40
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3799;3799;0
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4499;4499;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;1845.35;35
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;2155.3;30
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3009;2256.75;25
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4489;2917.85;35
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5459;2729.5;50
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5089;4325.65;15
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3169;2535.2;20
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3149;2676.65;15
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2369;1302.95;45
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3549;3549;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3519;2111.4;40
Nunez;Antares;Antares Cerveza Ipa;473 ml;4519;4519;0
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3819;3819;0
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3979;3183.2;20
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3519;2991.15;15
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6819;4091.4;40
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Michelob Ultra;Michelob Ultra Cerveza;275 ml;3069;1994.85;35
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4079;2039.5;50
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2419;2419;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;6469;0
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4317.1;4317.1;0
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6089;4566.75;25
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4059;2029.5;50
Nunez;Brahma;Cerveza Brahma 710 mL;710 ml;4309;3016.3;30
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5849;4971.65;15
Nunez;Peroni;Peroni Cerveza;330 ml;5149;3861.75;25
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3589;3589;0
Nunez;Sol;Starberg Cerveza Lager;500 ml;2579;1934.25;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7829;4697.4;40
Nunez;Antares;Antares Cerveza Lager;473 ml;4019;4019;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5719;3431.4;40
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;6779;0
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;2899;2899;0
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4729;3073.85;35
Nunez;Bitburger;Bitburger Cerveza;330 ml;4949;4949;0
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3519;3519;0
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4779;4779;0
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;4009;4009;0
Nunez;Rabieta;Rabieta Cerveza American Ipa;473 ml;4559;2735.4;40
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;3444.35;35
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5089;3053.4;40
Nunez;Bitburger;Bitburger Cerveza;500 ml;5649;5649;0
Nunez;Pilsener Konign;Konig Cerveza Lata;500 ml;5129;5129;0
Nunez;Estrella Damm;Estrella Damm Cerveza;500 ml;2719;2447.1;10
Nunez;;Cerveza Lager Estrella Del Sur Lata;500 ml;1459;1313.1;10
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3109;2331.75;25
Nunez;Patagonia;Cerveza Patagonia Bohemian 473 cc;473 ml;6799;4079.4;40
Nunez;Goose Island;Cerveza Goose Island Lager 473 cc;473 ml;4109;4109;0
Nunez;Sol;Sol Cerveza Rubia Original;473 ml;2549;2549;0
Nunez;Temple;Cerveza Temple Wolf Ipa 473 cc;473 ml;5869;3521.4;40
Nunez;Corona;Cerveza Corona 410 cc;410 ml;6439;6439;0
Nunez;Heineken Cero;Heineken Cerveza sin Alcohol;355 ml;2369;2369;0
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza 0.0 Tostada Lata 330ml;330 ml;4059;4059;0
