zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Miller;Miller Cerveza Rubia;600 ml;6509;6509;0
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4559;3875.15;15
Nunez;Corona;Corona Cerveza Rubia;710 ml;7745;7745;0
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;5159;3869.25;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3889;2722.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6939;5898.15;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3909;2931.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4319;4319;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4989;4989;0
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3739;2804.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3459;2767.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4579;3434.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2499;2499;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3889;2916.75;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4549;3411.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3109;3109;0
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3899;2924.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7939;5954.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5619;4214.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7809;5856.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4119;3501.15;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3729;2610.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4679;3275.3;30
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4199;3569.15;15
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3189;2710.65;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4659;3261.3;30
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5199;5199;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3579;3579;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4729;4019.65;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2959;2367.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3809;3809;0
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4529;3396.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3499;2974.15;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3789;2841.75;25
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml;473 ml;3009;1805.4;40
Nunez;Salta Cautiva;Salta Cerveza Session Ipa;473 ml;3529;2646.75;25
Nunez;Brahma;Cerveza Brahma Chopp 473 cc;473 ml;3079;2309.25;25
Nunez;Quilmes;Cerveza Quilmes Bajo Cero;473 ml;1839;1839;0
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3289;2631.2;20
Nunez;Brahma;Cerveza Brahma Chopp Lata 354mlx1;354 ml;2179;2179;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5479;2739.5;50
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2949;2211.75;25
Nunez;Budweiser;Cerveza Budweiser 710 cc;710 ml;4689;3047.85;35
Nunez;Rabieta;Rabieta Cerveza American Ipa;473 ml;4629;2777.4;40
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5659;4244.25;25
Nunez;Imperial;Imperial Cerveza Lager Dorada Lata 710ml;710 ml;5139;4368.15;15
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3139;1883.4;40
Nunez;Miller;Cerveza Miller;473 ml;3989;3989;0
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6749;4386.85;35
Nunez;Pampa;Pampa Cerveza Dorada Lata 473 ml;473 ml;3159;2527.2;20
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;3238.95;45
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3099;3099;0
Nunez;Rabieta;Rabieta Cerveza Helles Munich;473 ml;4059;2029.5;50
Nunez;Brahma;Cerveza Brahma 710 mL;710 ml;4489;3142.3;30
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4119;2471.4;40
Nunez;Corona;Corona Cerveza;473 ml;5269;3951.75;25
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3749;2999.2;20
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4489;4489;0
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3569;3569;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3529;2999.65;15
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4179;2507.4;40
Nunez;Imperial;Imperial Cerveza Golden;330 ml;3979;3183.2;20
Nunez;Antares;Antares Cerveza Lager;473 ml;3889;2722.3;30
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5719;4289.25;25
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2559;1663.35;35
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4392.45;4392.45;0
Nunez;Corona;Corona Cerveza 0.0;473 ml;3609;2526.3;30
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3869;3869;0
Nunez;Peroni;Peroni Cerveza;330 ml;5089;5089;0
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3599;3599;0
Nunez;Sol;Starberg Cerveza Lager;500 ml;2579;2579;0
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4629;3240.3;30
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5869;4988.65;15
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;4745.3;30
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;2959;2959;0
Nunez;Asahi;Asahi Cerveza Dry;330 ml;6109;6109;0
Nunez;Grolsch;Grolsch Cerveza Ipa;473 ml;4699;3524.25;25
Nunez;Bitburger;Bitburger Cerveza;330 ml;5099;5099;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7909;5931.75;25
Nunez;Warsteiner;Warsteiner Cerveza Rubia;473 ml;3979;3979;0
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4459;4459;0
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3549;2661.75;25
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5119;5119;0
Nunez;Bitburger;Bitburger Cerveza;500 ml;5989;5989;0
Nunez;Pilsener Konign;Konig Cerveza Lata;500 ml;5129;5129;0
Nunez;Estrella del Sur;Cerveza Lager Estrella Del Sur Lata;500 ml;1459;1459;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3689;3689;0
Nunez;Imperial;Imperial Apa Cerveza American Pale Ale Rubia;473 ml;3849;3849;0
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;2914.45;45
Nunez;Patagonia;Cerveza Patagonia Bohemian 473 cc;473 ml;6799;5099.25;25
Nunez;Goose Island;Cerveza Goose Island Lager 473 cc;473 ml;4199;4199;0
Nunez;Sol;Sol Cerveza Rubia Original;473 ml;2549;2549;0
Nunez;Temple;Cerveza Temple Wolf Ipa 473 cc;473 ml;5769;4326.75;25
Nunez;Corona;Cerveza Corona 410 cc;410 ml;6439;6439;0
Nunez;Heineken Cero;Heineken Cerveza sin Alcohol;355 ml;2369;2369;0
Nunez;Stones;Stones Cerveza Lemon;473 ml;2889;1;100
Nunez;Stones;Stones Cerveza Maracuyá;473 ml;2889;2889;0
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2389;1672.3;30
