zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia 1 X 473 mL;473 ml;4559.0;4559.0;0
Nunez;Miller;Miller Genuine Draft Cerveza 1 X 330 mL;330 ml;4386.08;4386.08;0
Nunez;Pampa;Cerveza Pampa Lager Lata 473ml 1 x 473 mL;473 ml;3009.0;1504.5;50
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710.0 ml;6879.0;5847.15;15
Nunez;Corona;Corona Cerveza Tipo Lager;330.0 ml;4989.0;3741.75;25
Nunez;1890;1890 Cerveza Rubia 1 X 473 mL;473 ml;2439.0;2195.1;10
Nunez;Quilmes;Cerveza Quilmes Clásica 710 cc 1 X 710 mL;710 cc;4059.0;3247.2;20
Nunez;Corona;Corona Cerveza Cero 1 X 330 mL;330 ml;3829.0;2297.4;40
Nunez;Miller;Cerveza Miller;473.0 ml;3979.0;3979.0;0
Nunez;Antares;Antares Cerveza Ipa 1 x 473 mL;473 ml;4519.0;3163.3;30
Nunez;Michelob Ultra;Michelob Ultra Cerveza 1 x 275 mL;275 ml;4279.0;2995.3;30
Nunez;Schneider;Schneider Cerveza Rubia Lager;473.0 ml;3079.0;3079.0;0
Nunez;Quilmes;Cerveza Quilmes 0% 473 cc 1 X 473 mL;473 cc;2369.0;1421.4;40
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager 1 x 710 mL;710 ml;6859.0;6859.0;0
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc 1 X 473 mL;473 cc;3519.0;2287.35;35
Nunez;Rabieta;Rabieta Cerveza Helles Munich 1 X 473 mL;473 ml;4059.0;2029.5;50
Nunez;Stella Artois;Stella Artois Cerveza 1 x 330 mL;330 ml;4489.0;2917.85;35
Nunez;Peroni;Peroni Cerveza 1 X 330 mL;330 ml;5039.0;5039.0;0
Nunez;Amstel;Amstel Cerveza Lager Pura Malta 1 X 473 mL;473 ml;3199.0;2239.3;30
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 cc;5889.0;5889.0;0
Nunez;Heineken;Heineken Cerveza Original 1 X 330 mL;330 ml;4849.0;4849.0;0
Nunez;Asahi;Asahi Cerveza Dry;330 cc;6129.0;6129.0;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc 1 X 730 mL;730 cc;7739.0;5030.35;35
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml 1 X 473 mL;473 ml;3129.0;1877.4;40
Nunez;Brahma;Cerveza Brahma Chopp Lata 354mlx1 1 X 354 mL;354 ml;1899.0;1709.1;10
Nunez;Estrella Galicia;Estrella Galicia Cerveza 0.0 Tostada Lata 330ml 1 x 330 mL;330 ml;4059.0;4059.0;0
Nunez;Santa Fe;Santa Fe Cerveza Rubia 1 X 473 mL;473 ml;3009.0;3009.0;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc 1 X 473 mL;473 cc;5439.0;5439.0;0
Nunez;Brahma;Brahma Cerveza Chopp;710 ml;4319.0;3455.2;20
Nunez;Stella Artois;Cerveza Stella Artois 0% 473 cc 1 x 473 mL;473 cc;3719.0;2417.35;35
Nunez;Miller;Miller Cerveza Rubia 1 X 600 mL;600 ml;6469.0;6469.0;0
Nunez;Amstel;Amstel Cerveza Lager;710.0 ml;4529.0;2943.85;35
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol 1 x 473 mL;473 ml;6779.0;4745.3;30
